EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,BACKBONE,HIDDEN_SIZE,DIM,DT_RANK,D_STATE,TRAIN_LOSS,VAL_LOSS,VAL_ACCURACY,TEST_LOSS,TEST_ACCURACY
0,50,0.20752220,0.00010000,16,210668,radmamba,80,80,2,1,0.60399212,0.34395959,91.37931034,0.34395959,91.37931034
1,50,0.38366681,0.00010000,16,210668,radmamba,80,80,2,1,0.25264321,0.19135290,94.96021220,0.19135290,94.96021220
2,50,0.55756527,0.00010000,16,210668,radmamba,80,80,2,1,0.17022784,0.15129929,96.15384615,0.15129929,96.15384615
3,50,0.73687631,0.00010000,16,210668,radmamba,80,80,2,1,0.13717474,0.13056013,96.68435013,0.13056013,96.68435013
4,50,0.91340173,0.00010000,16,210668,radmamba,80,80,2,1,0.10308530,0.13888025,96.15384615,0.13888025,96.15384615
5,50,1.07876585,0.00010000,16,210668,radmamba,80,80,2,1,0.07894575,0.10582151,97.34748011,0.10582151,97.34748011
6,50,1.23928080,0.00010000,16,210668,radmamba,80,80,2,1,0.05965896,0.11025209,96.81697613,0.11025209,96.81697613
7,50,1.39631354,0.00010000,16,210668,radmamba,80,80,2,1,0.04114946,0.07981902,98.14323607,0.07981902,98.14323607
8,50,1.56011935,0.00010000,16,210668,radmamba,80,80,2,1,0.03409410,0.08106433,98.01061008,0.08106433,98.01061008
9,50,1.72222151,0.00010000,16,210668,radmamba,80,80,2,1,0.02311278,0.13089673,96.02122016,0.13089673,96.02122016
10,50,1.88456422,0.00010000,16,210668,radmamba,80,80,2,1,0.02815420,0.07301323,98.54111406,0.07301323,98.54111406
11,50,2.03905647,0.00010000,16,210668,radmamba,80,80,2,1,0.02204224,0.07675432,97.74535809,0.07675432,97.74535809
12,50,2.19910759,0.00010000,16,210668,radmamba,80,80,2,1,0.01883703,0.07579573,98.01061008,0.07579573,98.01061008
13,50,2.35987942,0.00010000,16,210668,radmamba,80,80,2,1,0.01336004,0.06264220,98.54111406,0.06264220,98.54111406
14,50,2.51598570,0.00010000,16,210668,radmamba,80,80,2,1,0.00718199,0.05740404,98.80636605,0.05740404,98.80636605
15,50,2.67627579,0.00010000,16,210668,radmamba,80,80,2,1,0.00590295,0.05486435,98.67374005,0.05486435,98.67374005
16,50,2.83598871,0.00010000,16,210668,radmamba,80,80,2,1,0.00491926,0.05564770,98.80636605,0.05564770,98.80636605
17,50,2.99354937,0.00005000,16,210668,radmamba,80,80,2,1,0.00402493,0.05661406,98.67374005,0.05661406,98.67374005
18,50,3.14966735,0.00005000,16,210668,radmamba,80,80,2,1,0.00373933,0.05590908,98.67374005,0.05590908,98.67374005
19,50,3.30997643,0.00005000,16,210668,radmamba,80,80,2,1,0.00346368,0.05551488,98.67374005,0.05551488,98.67374005
20,50,3.46989789,0.00005000,16,210668,radmamba,80,80,2,1,0.00327539,0.05629188,98.67374005,0.05629188,98.67374005
21,50,3.63048134,0.00005000,16,210668,radmamba,80,80,2,1,0.00304799,0.05486987,98.80636605,0.05486987,98.80636605
22,50,3.79415742,0.00005000,16,210668,radmamba,80,80,2,1,0.00289752,0.05617162,98.80636605,0.05617162,98.80636605
