EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,BACKBONE,HIDDEN_SIZE,DIM,DT_RANK,D_STATE,TRAIN_LOSS,VAL_LOSS,VAL_ACCURACY,TEST_LOSS,TEST_ACCURACY
0,50,0.13799365,0.00010000,16,9371,resnet,7,80,2,1,1.96116968,1.94852636,29.97347480,1.94852636,29.97347480
1,50,0.21942743,0.00010000,16,9371,resnet,7,80,2,1,1.93249113,1.90609412,29.97347480,1.90609412,29.97347480
2,50,0.31070987,0.00010000,16,9371,resnet,7,80,2,1,1.88213524,1.84086049,39.12466844,1.84086049,39.12466844
3,50,0.38430831,0.00010000,16,9371,resnet,7,80,2,1,1.80475080,1.74311996,51.98938992,1.74311996,51.98938992
4,50,0.46172962,0.00010000,16,9371,resnet,7,80,2,1,1.70802971,1.62811585,54.37665782,1.62811585,54.37665782
5,50,0.53778191,0.00010000,16,9371,resnet,7,80,2,1,1.60938629,1.52622849,57.16180371,1.52622849,57.16180371
6,50,0.62535958,0.00010000,16,9371,resnet,7,80,2,1,1.51933491,1.43838725,57.55968170,1.43838725,57.55968170
7,50,0.70653499,0.00010000,16,9371,resnet,7,80,2,1,1.42825084,1.35037772,58.88594164,1.35037772,58.88594164
8,50,0.79409457,0.00010000,16,9371,resnet,7,80,2,1,1.35698988,1.28190748,60.47745358,1.28190748,60.47745358
9,50,0.87199080,0.00010000,16,9371,resnet,7,80,2,1,1.28901348,1.24474826,61.40583554,1.24474826,61.40583554
10,50,0.95514118,0.00010000,16,9371,resnet,7,80,2,1,1.23810282,1.16897233,61.93633952,1.16897233,61.93633952
11,50,1.02938857,0.00010000,16,9371,resnet,7,80,2,1,1.19349804,1.13159999,63.66047745,1.13159999,63.66047745
12,50,1.11356265,0.00010000,16,9371,resnet,7,80,2,1,1.14169201,1.09512376,67.50663130,1.09512376,67.50663130
13,50,1.20717429,0.00010000,16,9371,resnet,7,80,2,1,1.09642412,1.05386801,68.96551724,1.05386801,68.96551724
14,50,1.30529295,0.00010000,16,9371,resnet,7,80,2,1,1.06696652,1.00836560,72.01591512,1.00836560,72.01591512
15,50,1.38234468,0.00010000,16,9371,resnet,7,80,2,1,1.02346885,0.98337523,71.08753316,0.98337523,71.08753316
16,50,1.46110476,0.00010000,16,9371,resnet,7,80,2,1,0.99429824,0.95453397,75.72944297,0.95453397,75.72944297
17,50,1.55093679,0.00005000,16,9371,resnet,7,80,2,1,0.97422717,0.93020224,76.79045093,0.93020224,76.79045093
18,50,1.65300888,0.00005000,16,9371,resnet,7,80,2,1,0.95502513,0.92185500,76.52519894,0.92185500,76.52519894
19,50,1.73263481,0.00005000,16,9371,resnet,7,80,2,1,0.94882228,0.90762103,78.11671088,0.90762103,78.11671088
20,50,1.81934082,0.00005000,16,9371,resnet,7,80,2,1,0.92552832,0.88131879,78.38196286,0.88131879,78.38196286
21,50,1.89476462,0.00005000,16,9371,resnet,7,80,2,1,0.90917489,0.86552202,79.57559682,0.86552202,79.57559682
22,50,1.96807952,0.00005000,16,9371,resnet,7,80,2,1,0.89412635,0.85026858,80.50397878,0.85026858,80.50397878
23,50,2.03987604,0.00005000,16,9371,resnet,7,80,2,1,0.88245601,0.84129524,80.63660477,0.84129524,80.63660477
24,50,2.13936598,0.00005000,16,9371,resnet,7,80,2,1,0.87012165,0.82458845,81.96286472,0.82458845,81.96286472
25,50,2.20992699,0.00005000,16,9371,resnet,7,80,2,1,0.84986911,0.82349707,82.22811671,0.82349707,82.22811671
26,50,2.29669187,0.00005000,16,9371,resnet,7,80,2,1,0.83667642,0.80932667,82.89124668,0.80932667,82.89124668
27,50,2.37112575,0.00005000,16,9371,resnet,7,80,2,1,0.82867981,0.78722012,83.81962865,0.78722012,83.81962865
28,50,2.44456113,0.00005000,16,9371,resnet,7,80,2,1,0.82163816,0.78241510,84.35013263,0.78241510,84.35013263
29,50,2.51681260,0.00005000,16,9371,resnet,7,80,2,1,0.80571500,0.76308823,84.61538462,0.76308823,84.61538462
30,50,2.59703429,0.00005000,16,9371,resnet,7,80,2,1,0.79242137,0.74016702,85.54376658,0.74016702,85.54376658
31,50,2.68042579,0.00005000,16,9371,resnet,7,80,2,1,0.77201686,0.74246622,85.94164456,0.74246622,85.94164456
32,50,2.76133233,0.00005000,16,9371,resnet,7,80,2,1,0.76676363,0.75081960,86.20689655,0.75081960,86.20689655
33,50,2.85376568,0.00002500,16,9371,resnet,7,80,2,1,0.74727940,0.73113011,85.14588859,0.73113011,85.14588859
34,50,2.94543440,0.00002500,16,9371,resnet,7,80,2,1,0.74428769,0.70357985,87.00265252,0.70357985,87.00265252
35,50,3.02227622,0.00002500,16,9371,resnet,7,80,2,1,0.74544943,0.70379747,86.87002653,0.70379747,86.87002653
36,50,3.10003750,0.00002500,16,9371,resnet,7,80,2,1,0.73571619,0.70599819,86.73740053,0.70599819,86.73740053
37,50,3.20094448,0.00002500,16,9371,resnet,7,80,2,1,0.72678137,0.69636333,87.13527851,0.69636333,87.13527851
38,50,3.30615036,0.00002500,16,9371,resnet,7,80,2,1,0.72505824,0.68895004,87.93103448,0.68895004,87.93103448
39,50,3.38751475,0.00002500,16,9371,resnet,7,80,2,1,0.72255391,0.69841201,86.87002653,0.69841201,86.87002653
40,50,3.46127496,0.00002500,16,9371,resnet,7,80,2,1,0.70606811,0.67316784,88.32891247,0.67316784,88.32891247
41,50,3.54751213,0.00002500,16,9371,resnet,7,80,2,1,0.71445263,0.67109696,87.66578249,0.67109696,87.66578249
42,50,3.65221064,0.00002500,16,9371,resnet,7,80,2,1,0.69909707,0.65911982,87.40053050,0.65911982,87.40053050
43,50,3.76153187,0.00002500,16,9371,resnet,7,80,2,1,0.69925499,0.66953893,88.06366048,0.66953893,88.06366048
